player_id,player_name,vbd_true_avg,true_position,pick_value_raw
13164,"Kupp, Cooper",15.675,WR,3.4684
13589,"Allen, Josh",8.506,QB,3.4684
14779,"Herbert, Justin",6.732,QB,3.4684
5848,"Brady, Tom",6.505,QB,3.4684
14802,"Taylor, Jonathan",13.656,RB,3.4684
13116,"Mahomes, Patrick",5.74,QB,3.4684
11675,"Adams, Davante",11.993,WR,3.4684
14777,"Burrow, Joe",4.351,QB,3.4684
9431,"Stafford, Matthew",4.287,QB,3.4684
14783,"Hurts, Jalen",5.255,QB,3.4684
7836,"Rodgers, Aaron",5.25,QB,3.4684
13404,"Ekeler, Austin",12.187,RB,3.4684
14136,"Samuel, Deebo",10.756,WR,3.4684
14836,"Jefferson, Justin",9.137,WR,3.4684
13813,"Oluokun, Foyesade",9.912,LB,3.4684
12620,"Prescott, Dak",4.028,QB,3.4684
15281,"Chase, Ja'Marr",8.618,WR,3.4684
12801,"Hill, Tyreek",8.325,WR,3.4684
14056,"Murray, Kyler",6.279,QB,3.4684
15254,"Harris, Najee",9.194,RB,3.4684
13131,"Mixon, Joe",9.05,RB,3.4684
13671,"Andrews, Mark",4.106,TE,3.4684
10775,"Wagner, Bobby",8.35,LB,3.4684
12779,"Campbell, De'Vondre",8.162,LB,3.4684
13696,"Smith, Roquan",7.975,LB,3.4684
14892,"Brooks, Jordyn",7.662,LB,3.4684
11728,"Mosley, C.J.",8.267,LB,3.4684
14208,"Johnson, Diontae",7.426,WR,3.4684
12239,"Kendricks, Eric",7.038,LB,3.4684
12186,"Diggs, Stefon",6.206,WR,3.4684
14123,"Renfrow, Hunter",5.978,WR,3.4684
13593,"Jackson, Lamar",5.043,QB,3.4684
13129,"Fournette, Leonard",9.251,RB,3.4684
12238,"Perryman, Denzel",8.743,LB,3.4684
13733,"Leonard, Darius",7.333,LB,3.4684
13762,"White, Kyzir",6.162,LB,3.4684
14260,"Holcomb, Cole",7.2,LB,3.4684
11222,"Allen, Keenan",6.246,WR,3.4684
11225,"Patterson, Cordarrelle",6.167,WR,3.4684
13163,"Godwin, Chris",7.263,WR,3.4684
12625,"Elliott, Ezekiel",6.185,RB,3.4684
15284,"Waddle, Jaylen",5.779,WR,3.4684
12745,"Jones, Deion",6.4,LB,3.4684
11671,"Evans, Mike",5.513,WR,3.4684
14102,"Metcalf, DK",4.4,WR,3.4684
14218,"Okereke, Bobby",5.162,LB,3.4684
14832,"Lamb, CeeDee",5.319,WR,3.4684
13319,"Jones, Aaron",6.365,RB,3.4684
13146,"Conner, James",7.451,RB,3.4684
14168,"White, Devin",4.912,LB,3.4684
14412,"Singleton, Alex",4.788,LB,3.4684
11674,"Cooks, Brandin",4.886,WR,3.4684
12287,"Hicks, Jordan",4.662,LB,3.4684
13214,"Watt, T.J.",7.991,DL,3.4684
13713,"Fitzpatrick, Minkah",4.367,DB,3.4684
13743,"Warner, Fred",5.467,LB,3.4684
13635,"Moore, D.J.",3.702,WR,3.4684
10783,"Smith, Harrison",5.357,DB,3.4684
14105,"Brown, Marquise",4.579,WR,3.4684
14835,"Higgins, Tee",5.527,WR,3.4684
13154,"Williams, Mike",4.453,WR,3.4684
14842,"Pittman, Michael",3.444,WR,3.4684
13132,"Kamara, Alvin",9.157,RB,3.4684
13714,"James, Derwin",4.857,DB,3.4684
15350,"Parsons, Micah",4.038,LB,3.4684
12187,"Lockett, Tyler",4.109,WR,3.4684
14852,"Gibson, Antonio",5.061,RB,3.4684
14322,"Edwards, T.J.",3.725,LB,3.4684
13610,"Chubb, Nick",7.094,RB,3.4684
11316,"Ryan, Logan",4.286,DB,3.4684
14073,"Jacobs, Josh",5.68,RB,3.4684
11938,"Thielen, Adam",5.175,WR,3.4684
13128,"Cook, Dalvin",7.586,RB,3.4684
14797,"Swift, D'Andre",7.269,RB,3.4684
10266,"Heyward, Cameron",4.25,DL,3.4684
14075,"Harris, Damien",4.908,RB,3.4684
12626,"Henry, Derrick",15.156,RB,3.4684
12768,"Schobert, Joe",3.467,LB,3.4684
14221,"Williams, Quincy",3.467,LB,3.4684
12828,"Grugier-Hill, Kamu",5.369,LB,3.4684
14590,"Al-Shaair, Azeez",5.292,LB,3.4684
14071,"Montgomery, David",5.386,RB,3.4684
12231,"Thompson, Shaq",4.908,LB,3.4684
14928,"Wilson, Logan",4.754,LB,3.4684
10768,"David, Lavonte",4.677,LB,3.4684
13306,"Walker, Anthony",5.6,LB,3.4684
14813,"Robinson, James",3.558,RB,3.4684
14909,"Winfield, Antoine",3.833,DB,3.4684
14104,"Brown, A.J.",3.648,WR,3.4684
14087,"Henderson, Darrell",4.611,RB,3.4684
11772,"Kirksey, Christian",3.933,LB,3.4684
13281,"Douglas, Rasul",3.955,DB,3.4684
15263,"Mitchell, Elijah",5.221,RB,3.4684
11232,"Hopkins, DeAndre",4.526,WR,3.4684
11228,"Woods, Robert",5.05,WR,3.4684
14268,"Long, David",5.489,LB,3.4684
13130,"McCaffrey, Christian",9.208,RB,3.4684
9988,"Brown, Antonio",7.106,WR,3.4684
13138,"Hunt, Kareem",4.744,RB,3.4684
12221,"Hunter, Danielle",4.205,DL,3.4684
13629,"Ridley, Calvin",4.026,WR,3.4684
14339,"Grayson, Cyril",4.743,WR,3.4684
14247,"Greenlaw, Dre",3.6,LB,3.4684
15524,"Eberle, Dominik",3.533,PK,3.4684
15256,"Williams, Javonte",3.338,RB,3.3537
10816,"Davis, Demario",3.333,LB,3.3537
12175,"Cooper, Amari",3.349,WR,3.3537
11757,"Donald, Aaron",3.374,DL,3.3537
13697,"Edmunds, Tremaine",3.386,LB,3.3537
14184,"Abram, Johnathan",3.214,DB,3.2398
13364,"Carson, Chris",3.269,RB,3.2398
15029,"Crowder, Tae",3.1,LB,3.1268
11244,"Kelce, Travis",3.011,TE,3.0147
12151,"Gordon, Melvin",3.027,RB,3.0147
13726,"Edmonds, Chase",3.019,RB,3.0147
10700,"Cousins, Kirk",2.874,QB,2.9036
14887,"Simmons, Isaiah",2.912,LB,2.9036
13230,"Adams, Jamal",2.917,DB,2.9036
14803,"Edwards-Helaire, Clyde",2.954,RB,2.9036
13470,"Moore, Kenny",2.812,DB,2.7934
13623,"Williams, Darrel",2.763,RB,2.7934
14085,"Pollard, Tony",2.812,RB,2.7934
15258,"Carter, Michael",2.802,RB,2.7934
13325,"Woods, Xavier",2.625,DB,2.5758
13706,"Baker, Jerome",2.6,LB,2.5758
13700,"Landry, Harold",2.624,DL,2.5758
13108,"McKissic, J.D.",2.621,RB,2.5758
12752,"Byard, Kevin",2.5,DB,2.4685
15355,"Bolton, Nick",2.467,LB,2.4685
13810,"Joseph-Day, Sebastian",2.491,DL,2.4685
14518,"Thompson, Jalen",2.375,DB,2.3622
15287,"St. Brown, Amon-Ra",2.381,WR,2.3622
13633,"Kirk, Christian",2.373,WR,2.3622
14109,"McLaurin, Terry",2.318,WR,2.3622
12075,"Barrett, Shaq",2.395,DL,2.3622
13245,"Reddick, Haason",2.395,DL,2.3622
10292,"Jordan, Cameron",2.329,DL,2.3622
15288,"Moore, Elijah",2.37,WR,2.3622
11769,"Lawrence, Demarcus",2.395,DL,2.3622
14927,"Chinn, Jeremy",2.25,DB,2.2569
12702,"Jack, Myles",2.243,LB,2.2569
11317,"Poyer, Jordan",2.167,DB,2.1526
14805,"Dillon, AJ",2.175,RB,2.1526
12250,"Collins, Landon",2.192,DB,2.1526
14834,"Ruggs, Henry",2.177,WR,2.1526
14974,"Mooney, Darnell",2.019,WR,2.0493
13198,"Garrett, Myles",2.062,DL,2.0493
12734,"Floyd, Leonard",2,DL,2.0493
14147,"Bosa, Nick",2,DL,2.0493
14167,"Allen, Josh",2.062,DL,2.0493
12241,"Johnson, Alexander",2.1,LB,2.0493
10269,"Quinn, Robert",1.933,LB,1.9471
13774,"Reed, D.J.",1.928,DB,1.9471
14162,"Wilkins, Christian",1.943,DL,1.9471
12788,"Martinez, Blake",1.933,LB,1.9471
12720,"Kearse, Jayron",1.812,DB,1.8459
13604,"Barkley, Saquon",1.894,RB,1.8459
13688,"Davenport, Marcus",1.862,DL,1.8459
14080,"Singletary, Devin",1.782,RB,1.7458
14081,"Gaskin, Myles",1.711,RB,1.7458
13608,"Penny, Rashaad",1.738,RB,1.7458
12718,"Bell, Vonn",1.688,DB,1.6467
14896,"Queen, Patrick",1.6,LB,1.6467
13775,"Bentley, Ja'Whaun",1.667,LB,1.6467
14210,"Pratt, Germaine",1.604,LB,1.6467
13153,"Davis, Corey",1.606,WR,1.6467
13134,"Foreman, D'Onta",1.682,RB,1.6467
14903,"Diggs, Trevon",1.594,DB,1.5487
13251,"Baker, Budda",1.562,DB,1.5487
12711,"Ramsey, Jalen",1.567,DB,1.5487
14991,"Fuller, Jordan",1.567,DB,1.5487
13747,"Walker, Tracy",1.571,DB,1.5487
10753,"Jones, Chandler",1.562,DL,1.5487
8851,"Folk, Nick",1.461,PK,1.4518
13252,"Maye, Marcus",1.5,DB,1.4518
10976,"Tucker, Justin",1.377,PK,1.356
13307,"Milano, Matt",1.333,LB,1.356
12278,"Golden, Markus",1.395,DL,1.356
14940,"Highsmith, Alex",1.395,DL,1.356
12686,"Bosa, Joey",1.329,DL,1.356
14882,"Greenard, Jonathan",1.335,DL,1.356
11747,"White, James",1.394,RB,1.356
12349,"Diggs, Quandre",1.25,DB,1.2614
12650,"Boyd, Tyler",1.299,WR,1.2614
14921,"Dugger, Kyle",1.233,DB,1.2614
12302,"Wilson, Damien",1.225,LB,1.2614
13268,"Anzalone, Alex",1.243,LB,1.2614
12795,"Judon, Matt",1.25,DL,1.2614
15351,"Owusu-Koramoah, Jeremiah",1.292,LB,1.2614
14558,"Harris, Deonte",1.253,WR,1.2614
13299,"Kittle, George",1.164,TE,1.1678
12714,"Fuller, Kendall",1.167,DB,1.1678
14185,"Adderley, Nasir",1.174,DB,1.1678
12225,"Williams, Leonard",1.124,DL,1.1678
12817,"Brown, Anthony",1.062,DB,1.0754
13232,"King, Desmond",1.121,DB,1.0754
11313,"Mathieu, Tyrann",1.033,DB,1.0754
14244,"Gay, Matt",1.042,PK,1.0754
13216,"Cunningham, Zach",1.062,LB,1.0754
12140,"Winston, Jameis",1.054,QB,1.0754
15259,"Stevenson, Rhamondre",1.112,RB,1.0754
13871,"Hilliard, Dontrell",1.113,RB,1.0754
11382,"Hyde, Micah",1.025,DB,0.9841
12767,"Simmons, Justin",1,DB,0.9841
14908,"McKinney, Xavier",1,DB,0.9841
15282,"Smith, DeVonta",1.025,WR,0.9841
13224,"Lattimore, Marshon",0.967,DB,0.9841
14918,"Terrell, A.J.",0.967,DB,0.9841
13765,"Young, Kenny",0.985,LB,0.9841
12176,"Parker, DeVante",0.95,WR,0.9841
12157,"Johnson, Duke",0.969,RB,0.9841
10703,"Wilson, Russell",0.926,QB,0.894
12308,"Amos, Adrian",0.938,DB,0.894
14127,"Meyers, Jakobi",0.909,WR,0.894
15368,"McPherson, Evan",0.886,PK,0.894
11723,"Van Noy, Kyle",0.867,LB,0.894
13920,"Ward, Charvarius",0.917,DB,0.894
11720,"Barr, Anthony",0.85,LB,0.894
12658,"Shepard, Sterling",0.906,WR,0.894
13917,"Jackson, J.C.",0.812,DB,0.8051
13418,"Bourne, Kendrick",0.762,WR,0.8051
13737,"Bates, Jessie",0.833,DB,0.8051
15001,"Curl, Kamren",0.833,DB,0.8051
14956,"Sneed, L'Jarius",0.786,DB,0.8051
13760,"Whitehead, Jordan",0.808,DB,0.8051
13684,"Hubbard, Sam",0.812,DL,0.8051
14079,"Sanders, Miles",0.844,RB,0.8051
11721,"Mack, Khalil",0.776,DL,0.8051
13718,"Carlson, Daniel",0.761,PK,0.7174
11936,"Boswell, Chris",0.736,PK,0.7174
13223,"Humphrey, Marlon",0.75,DB,0.7174
15225,"Riley, Elijah",0.667,DB,0.6308
12688,"Buckner, DeForest",0.562,DL,0.5455
10699,"Foles, Nick",0.511,QB,0.5455
14180,"Murphy, Byron",0.46,DB,0.4614
12985,"Littleton, Cory",0.475,LB,0.4614
13263,"Awuzie, Chidobe",0.429,DB,0.4614
14841,"Claypool, Chase",0.42,WR,0.4614
13738,"Jackson, Donte",0.423,DB,0.4614
13959,"Williams, Darious",0.423,DB,0.4614
11660,"Freeman, Devonta",0.454,RB,0.4614
14163,"Simmons, Jeffery",0.5,DL,0.4614
10653,"Bynes, Josh",0.446,LB,0.4614
13139,"Williams, Jamaal",0.461,RB,0.4614
14434,"Reaves, Jeremy",0.5,DB,0.4614
13898,"Joseph, Greg",0.386,PK,0.3785
13809,"Gage, Russell",0.375,WR,0.3785
14170,"Bush, Devin",0.369,LB,0.3785
13304,"Brown, Jayon",0.4,LB,0.3785
12381,"Siemian, Trevor",0.395,QB,0.3785
9861,"Jackson, Kareem",0.3,DB,0.2969
11293,"Ogletree, Alec",0.333,LB,0.2969
12629,"Booker, Devontae",0.294,RB,0.2969
11680,"Landry, Jarvis",0.306,WR,0.2969
14964,"Hall, Bryce",0.188,DB,0.2166
14245,"Oruwariye, Amani",0.214,DB,0.2166
13204,"Harris, Charles",0.25,DL,0.2166
14171,"Burns, Brian",0.25,DL,0.2166
14226,"Willis, Khari",0.227,DB,0.2166
12233,"Alexander, Kwon",0.236,LB,0.2166
14840,"Aiyuk, Brandon",0.118,WR,0.1376
13354,"Butker, Harrison",0.116,PK,0.1376
14912,"Blankenship, Rodrigo",0.173,PK,0.1376
13764,"Johnson, Taron",0.033,DB,0.0598
13303,"Elliott, Jake",0.077,PK,0.0598
11883,"Mitchell, Terrance",0.038,DB,0.0598
11760,"Garoppolo, Jimmy",-0.02,QB,-0.0167
10973,"Beasley, Cole",-0.047,WR,-0.0167
14157,"Williams, Quinnen",-0.009,DL,-0.0167
13646,"Gallup, Michael",-0.027,WR,-0.0167
10697,"Tannehill, Ryan",-0.097,QB,-0.0921
12764,"Hargrave, Javon",-0.126,DL,-0.0921
12634,"Howard, Jordan",-0.077,RB,-0.0921
14059,"Jones, Daniel",-0.151,QB,-0.1663
10261,"Green, A.J.",-0.161,WR,-0.1663
14672,"Reeder, Troy",-0.15,LB,-0.1663
8930,"Prater, Matt",-0.139,PK,-0.1663
11788,"Breeland, Bashaud",-0.192,DB,-0.1663
15464,"Echols, Brandin",-0.192,DB,-0.1663
13226,"Jackson, Adoree",-0.167,DB,-0.1663
14249,"Van Ginkel, Andrew",-0.188,DL,-0.1663
13710,"Davis, Carlton",-0.167,DB,-0.1663
12610,"Wentz, Carson",-0.232,QB,-0.2393
12831,"Roberts, Elandon",-0.275,LB,-0.2393
14910,"Jones, Brandon",-0.214,DB,-0.2393
11387,"Hopkins, Dustin",-0.211,PK,-0.2393
12910,"Harris, Erik",-0.25,DB,-0.2393
13208,"Allen, Jonathan",-0.25,DL,-0.2393
14149,"Gary, Rashan",-0.205,DL,-0.2393
14182,"Hooker, Amani",-0.264,DB,-0.2393
13703,"Carter, Lorenzo",-0.246,DL,-0.2393
14727,"Reynolds, Craig",-0.256,RB,-0.2393
10738,"Jones, Marvin",-0.294,WR,-0.3113
13638,"Berrios, Braxton",-0.337,WR,-0.3113
14328,"Wingard, Andrew",-0.34,DB,-0.3113
10862,"Bullock, Randy",-0.277,PK,-0.3113
8153,"Gould, Robbie",-0.338,PK,-0.3113
14850,"Cephus, Quintez",-0.314,WR,-0.3113
9430,"Jenkins, Malcolm",-0.367,DB,-0.3821
13227,"Lewis, Jourdan",-0.367,DB,-0.3821
13322,"Clark, Chuck",-0.367,DB,-0.3821
12184,"Crowder, Jamison",-0.367,WR,-0.3821
13699,"Evans, Rashaan",-0.4,LB,-0.3821
13702,"Jewell, Josey",-0.4,LB,-0.3821
12088,"Phillips, Adrian",-0.438,DB,-0.4519
12742,"Howard, Xavien",-0.433,DB,-0.4519
15366,"Holland, Jevon",-0.46,DB,-0.4519
12164,"Davis, Mike",-0.419,RB,-0.4519
13284,"Hendrickson, Trey",-0.438,DL,-0.4519
14235,"Tranquill, Drue",-0.477,LB,-0.4519
14798,"Moss, Zack",-0.439,RB,-0.4519
13347,"Gonzalez, Zane",-0.475,PK,-0.4519
12741,"Jones, Chris",-0.476,DL,-0.4519
14716,"Harris, Jonathan",-0.438,DL,-0.4519
13716,"Edmunds, Terrell",-0.5,DB,-0.5206
13253,"Williams, Marcus",-0.5,DB,-0.5206
13293,"Reeves-Maybin, Jalen",-0.543,LB,-0.5206
12270,"Smith, Preston",-0.538,DL,-0.5206
11679,"Beckham, Odell",-0.556,WR,-0.5884
11795,"Hitchens, Anthony",-0.614,LB,-0.5884
13256,"Bowser, Tyus",-0.563,DL,-0.5884
13980,"Badgley, Mike",-0.621,PK,-0.5884
15369,"Patterson, Riley",-0.609,PK,-0.5884
13719,"Pineiro, Eddy",-0.617,PK,-0.5884
12476,"Heinicke, Taylor",-0.638,QB,-0.6551
12762,"Vigil, Nick",-0.667,LB,-0.6551
12700,"Johnson, Austin",-0.626,DL,-0.6551
12222,"Flowers, Trey",-0.652,DL,-0.6551
15034,"Callaway, Marquez",-0.7,WR,-0.7209
14983,"Bass, Tyler",-0.73,PK,-0.7209
12263,"Waller, Darren",-0.752,TE,-0.7209
14223,"Mattison, Alexander",-0.717,RB,-0.7209
13212,"Wormley, Chris",-0.724,DL,-0.7209
14153,"Allen, Zach",-0.724,DL,-0.7209
14977,"Osborn, K.J.",-0.785,WR,-0.7858
13377,"Patrick, Tim",-0.801,WR,-0.7858
9918,"Sanders, Emmanuel",-0.787,WR,-0.7858
9694,"Gano, Graham",-0.764,PK,-0.7858
8742,"Crosby, Mason",-0.789,PK,-0.7858
13229,"Jackson, Eddie",-0.808,DB,-0.7858
12276,"Darby, Ronald",-0.773,DB,-0.7858
13759,"Armstrong, Dorance",-0.771,DL,-0.7858
13839,"Sieler, Zach",-0.876,DL,-0.8498
15385,"Ojulari, Azeez",-0.876,DL,-0.8498
11706,"Clowney, Jadeveon",-0.861,DL,-0.8498
15362,"Surtain II, Patrick",-0.938,DB,-0.9129
15380,"Campbell, Tyson",-0.929,DB,-0.9129
14600,"Slye, Joey",-0.899,PK,-0.9129
13767,"Maddox, Avonte",-1,DB,-0.9751
13630,"Sutton, Courtland",-0.988,WR,-0.9751
14225,"Crosby, Maxx",-1,DL,-0.9751
15346,"Rousseau, Gregory",-1,DL,-0.9751
13934,"Facyson, Brandon",-0.955,DB,-0.9751
11768,"Ward, Jimmie",-1.033,DB,-1.0365
14095,"Johnson, Ty",-1.019,RB,-1.0365
13231,"Peppers, Jabrill",-1.017,DB,-1.0365
13262,"Kpassagnon, Tanoh",-1.063,DL,-1.0365
13761,"Averett, Anthony",-1.071,DB,-1.0971
15283,"Moore, Rondale",-1.095,WR,-1.0971
11947,"McManus, Brandon",-1.08,PK,-1.0971
13717,"Reid, Justin",-1.115,DB,-1.0971
14181,"Mullen, Trayvon",-1.1,DB,-1.0971
15261,"Hubbard, Chuba",-1.154,RB,-1.157
13715,"Harrison, Ronnie",-1.167,DB,-1.157
10276,"Ingram, Mark",-1.177,RB,-1.157
12736,"Neal, Keanu",-1.169,LB,-1.157
14224,"Gardner-Johnson, Chauncey",-1.136,DB,-1.157
15293,"Bateman, Rashod",-1.167,WR,-1.157
11640,"Bridgewater, Teddy",-1.24,QB,-1.2161
14213,"Harris, Will",-1.188,DB,-1.2161
14250,"Hollins, Justin",-1.224,DL,-1.2161
14258,"Seibert, Austin",-1.209,PK,-1.2161
9686,"Succop, Ryan",-1.289,PK,-1.2745
13723,"Payne, Da'Ron",-1.25,DL,-1.2745
11872,"Harris, Shelby",-1.271,DL,-1.2745
14962,"Gipson, Trevis",-1.271,DL,-1.2745
9904,"Joseph, Linval",-1.246,DL,-1.2745
14199,"Murphy-Bunting, Sean",-1.25,DB,-1.2745
14778,"Tagovailoa, Tua",-1.309,QB,-1.3322
13265,"Ogunjobi, Larry",-1.313,DL,-1.3322
14833,"Jeudy, Jerry",-1.305,WR,-1.3322
13748,"Jones, Justin",-1.338,DL,-1.3322
11348,"Slay, Darius",-1.375,DB,-1.3892
13690,"Sweat, Josh",-1.376,DL,-1.3892
13746,"Green, Rasheem",-1.376,DL,-1.3892
13693,"Phillips, Harrison",-1.4,DL,-1.3892
12215,"Gregory, Randy",-1.393,DL,-1.3892
15432,"Carter, Michael",-1.429,DB,-1.4456
13622,"Hines, Nyheim",-1.447,RB,-1.4456
15373,"Davis, Jamin",-1.467,LB,-1.4456
12305,"Jarrett, Grady",-1.438,DL,-1.4456
13479,"Davis, Michael",-1.5,DB,-1.5014
13332,"Jones, D.J.",-1.5,DL,-1.5014
13793,"Valdes-Scantling, Marquez",-1.494,WR,-1.5014
10823,"Hicks, Akiem",-1.494,DL,-1.5014
13806,"Elliott, DeShon",-1.5,DB,-1.5014
14902,"Okudah, Jeff",-1.5,DB,-1.5014
7401,"Roethlisberger, Ben",-1.573,QB,-1.5566
14138,"Hockenson, T.J.",-1.574,TE,-1.5566
13403,"Koo, Younghoe",-1.542,PK,-1.5566
12611,"Goff, Jared",-1.598,QB,-1.6113
13742,"Hill, B.J.",-1.626,DL,-1.6113
13909,"Maher, Brett",-1.61,PK,-1.6113
13668,"Chark, D.J.",-1.594,WR,-1.6113
13863,"Pringle, Byron",-1.642,WR,-1.6654
15255,"Gainwell, Kenneth",-1.685,RB,-1.6654
14926,"Gay, Willie",-1.673,LB,-1.6654
13772,"Schultz, Dalton",-1.701,TE,-1.7178
13308,"Agnew, Jamal",-1.74,WR,-1.7178
12739,"Clark, Kenny",-1.738,DL,-1.7178
15378,"Oweh, Jayson",-1.738,DL,-1.7178
12217,"Fowler, Dante",-1.707,DL,-1.7178
14941,"Taylor, Davion",-1.733,LB,-1.7178
13727,"Vander Esch, Leighton",-1.775,LB,-1.7672
13632,"Lazard, Allen",-1.765,WR,-1.7672
10457,"Guy, Lawrence",-1.75,DL,-1.7672
12697,"Robinson, A'Shawn",-1.75,DL,-1.7672
14947,"Wonnum, D.J.",-1.75,DL,-1.7672
15384,"Samuel, Asante",-1.773,DB,-1.7672
13634,"Pettis, Dante",-1.747,WR,-1.7672
14222,"Edwards, Mike",-1.808,DB,-1.814
15349,"Phillips, Jaelan",-1.813,DL,-1.814
13998,"Moseley, Emmanuel",-1.8,DB,-1.814
10413,"Taylor, Tyrod",-1.832,QB,-1.814
13288,"Jenkins, Rayshawn",-1.857,DB,-1.8581
12756,"Ngakoue, Yannick",-1.876,DL,-1.8581
13330,"Muhammad, Al-Quadin",-1.876,DL,-1.8581
11010,"Gipson, Tashaun",-1.864,DB,-1.8581
13953,"Thomas, Tavierre",-1.881,DB,-1.8997
14857,"Peoples-Jones, Donovan",-1.913,WR,-1.8997
12750,"Bradberry, James",-1.938,DB,-1.939
14113,"Hardman, Mecole",-1.928,WR,-1.939
13274,"Johnson, John",-1.929,DB,-1.939
14384,"Reed, Malik",-1.938,LB,-1.939
12083,"Autry, Denico",-1.938,DL,-1.939
14237,"Gaines, Greg",-1.938,DL,-1.939
14159,"Lawrence, Dexter",-1.938,DL,-1.939
14161,"Tillery, Jerry",-1.938,DL,-1.939
9833,"Pierre-Paul, Jason",-1.938,DL,-1.939
14148,"Sweat, Montez",-1.938,DL,-1.939
15678,"Hoyett, Braxton",-1.938,DL,-1.939
13592,"Darnold, Sam",-1.96,QB,-1.9762
15289,"Toney, Kadarius",-1.958,WR,-1.9762
13066,"Raymond, Kalif",-2.007,WR,-2.0113
10774,"Hightower, Dont'a",-2,LB,-2.0113
15404,"Jones, Ernest",-2,LB,-2.0113
9825,"Dunlap, Carlos",-2,DL,-2.0113
12218,"Armstead, Arik",-2,DL,-2.0113
15241,"Jones, Mac",-2.033,QB,-2.0445
10267,"Miller, Von",-2.043,LB,-2.0445
12252,"Harris, Anthony",-2.071,DB,-2.076
13317,"Godchaux, Davon",-2.063,DL,-2.076
12952,"Pierce, Michael",-2.063,DL,-2.076
12794,"Blair, Ronald",-2.081,DL,-2.076
9099,"Ryan, Matt",-2.096,QB,-2.1059
14722,"Needham, Nik",-2.125,DB,-2.1344
13652,"Wilson, Cedrick",-2.146,WR,-2.1344
10851,"Norman, Josh",-2.143,DB,-2.1344
12360,"Covington, Christian",-2.138,DL,-2.1344
12229,"Phillips, Jordan",-2.16,DL,-2.1615
9846,"McCourty, Devin",-2.199,DB,-2.1875
13787,"Carter, Jermaine",-2.212,LB,-2.2125
14897,"Brown, Derrick",-2.205,DL,-2.2125
9051,"Campbell, Calais",-2.224,DL,-2.2125
