"","season","week","player_id","player_name","pos","team","points","is_available","true_position","mfl_position","rankMFL","rankTrue"
"1",2021,"YTD",13214,"Watt, T.J.","LB","PIT",223,"0","DE","LB","LB 17","DE 1"
"2",2021,"YTD",13700,"Landry, Harold","LB","TEN",169,"0","DE","LB","LB 38","DE 3"
"3",2021,"YTD",12734,"Floyd, Leonard","LB","LAR",159,"0","DE","LB","LB 44","DE 5"
"4",2021,"YTD",14162,"Wilkins, Christian","DT","MIA",158.1,"0","DT","DE","DE 4","DT 2"
"5",2021,"YTD",13245,"Reddick, Haason","DE","CAR",155,"0","DE","LB","LB 46","DE 7"
"6",2021,"YTD",12075,"Barrett, Shaq","LB","TBB",155,"0","DE","LB","LB 47","DE 8"
"7",2021,"YTD",14167,"Allen, Josh","DE","JAC",150,"0","DE","LB","LB 49","DE 10"
"8",2021,"YTD",12795,"Judon, Matt","LB","NEP",147,"0","DE","LB","LB 52","DE 11"
"9",2021,"YTD",12225,"Williams, Leonard","DE","NYG",145,"0","DT","DE","DE 6","DT 3"
"10",2021,"YTD",14940,"Highsmith, Alex","LB","PIT",140,"0","DE","LB","LB 56","DE 13"
"11",2021,"YTD",12278,"Golden, Markus","LB","ARI",140,"0","DE","LB","LB 57","DE 14"
"12",2021,"YTD",12686,"Bosa, Joey","DE","LAC",139,"0","DE","LB","LB 59","DE 15"
"13",2021,"YTD",10753,"Jones, Chandler","LB","ARI",133,"0","DE","LB","LB 63","DE 16"
"14",2021,"YTD",14249,"Van Ginkel, Andrew","LB","MIA",124,"0","DE","LB","LB 68","DE 20"
"15",2021,"YTD",13256,"Bowser, Tyus","LB","BAL",118,"1","DE","LB","LB 73","DE 22"
"16",2021,"YTD",15405,"Stephens, Brandon","CB","BAL",117,"1","S","CB","CB 48","S 58"
"17",2021,"YTD",14149,"Gary, Rashan","LB","GBP",116,"1","DE","LB","LB 75","DE 23"
"18",2021,"YTD",13839,"Sieler, Zach","DE","MIA",113,"1","DT","DE","DE 12","DT 9"
"19",2021,"YTD",15385,"Ojulari, Azeez","LB","NYG",113,"0","DE","LB","LB 77","DE 24"
"20",2021,"YTD",12270,"Smith, Preston","LB","GBP",111,"1","DE","LB","LB 80","DE 25"
"21",2021,"YTD",14225,"Crosby, Maxx","DE","LVR",111,"0","DE","LB","LB 82","DE 26"
"22",2021,"YTD",14224,"Gardner-Johnson, Chauncey","S","NOS",103,"1","CB","S","S 66","CB 60"
"23",2021,"YTD",13212,"Wormley, Chris","DE","PIT",101,"0","DT","DE","DE 17","DT 15"
"24",2021,"YTD",13703,"Carter, Lorenzo","LB","NYG",100,"1","DE","LB","LB 88","DE 33"
"25",2021,"YTD",11872,"Harris, Shelby","DE","DEN",100,"1","DT","DE","DE 20","DT 17"
"26",2021,"YTD",10457,"Guy, Lawrence","DE","NEP",99,"1","DT","DE","DE 22","DT 18"
"27",2021,"YTD",12697,"Robinson, A'Shawn","DT","LAR",99,"1","DT","DE","DE 23","DT 19"
"28",2021,"YTD",15349,"Phillips, Jaelan","DE","MIA",98,"0","DE","LB","LB 90","DE 35"
"29",2021,"YTD",12218,"Armstead, Arik","DE","SFO",95,"0","DE","DT","DT 14","DE 41"
"30",2021,"YTD",15378,"Oweh, Jayson","LB","BAL",93,"0","DE","LB","LB 95","DE 43"
"31",2021,"YTD",14161,"Tillery, Jerry","DT","LAC",90,"1","DT","DE","DE 31","DT 23"
"32",2021,"YTD",13777,"Nichols, Bilal","DT","CHI",87,"1","DT","DE","DE 32","DT 30"
"33",2021,"YTD",12360,"Covington, Christian","DT","LAC",87,"1","DT","DE","DE 33","DT 31"
"34",2021,"YTD",12791,"Lowry, Dean","DE","GBP",87,"1","DT","DE","DE 34","DT 32"
"35",2021,"YTD",15177,"Bryant, Myles","CB","NEP",86,"1","S","CB","CB 82","S 76"
"36",2021,"YTD",13704,"Nwosu, Uchenna","LB","LAC",86,"1","DE","LB","LB 96","DE 46"
"37",2021,"YTD",13693,"Phillips, Harrison","DT","BUF",85,"1","DT","DE","DE 36","DT 34"
"38",2021,"YTD",12221,"Hunter, Danielle","DE","MIN",85,"0","DE","LB","LB 97","DE 47"
"39",2021,"YTD",12698,"Reed, Jarran","DT","KCC",81,"1","DT","DE","DE 41","DT 38"
"40",2021,"YTD",14164,"Jones, Dre'Mont","DE","DEN",79,"0","DT","DE","DE 45","DT 39"
"41",2021,"YTD",13434,"Robertson-Harris, Roy","DT","JAC",74,"1","DT","DE","DE 46","DT 44"
"42",2021,"YTD",12215,"Gregory, Randy","DE","DAL",72,"0","DE","LB","LB 104","DE 58"
"43",2021,"YTD",14900,"Madubuike, Justin","DT","BAL",66,"1","DT","DE","DE 54","DT 56"
"44",2021,"YTD",15381,"Grant, Richie","S","ATL",62,"0","CB","S","S 87","CB 105"
"45",2021,"YTD",11721,"Mack, Khalil","LB","CHI",61,"0","DE","LB","LB 115","DE 69"
"46",2021,"YTD",15379,"Tryon, Joe","LB","TBB",58,"0","DE","LB","LB 120","DE 74"
"47",2021,"YTD",13258,"Walker, DeMarcus","DE","HOU",55,"1","DT","DE","DE 69","DT 70"
"48",2021,"YTD",14888,"Chaisson, K'Lavon","DE","JAC",55,"1","DE","LB","LB 123","DE 80"
"49",2021,"YTD",12489,"Copeland, Brandon","LB","ATL",55,"1","DE","LB","LB 124","DE 81"
"50",2021,"YTD",12744,"Ward, Jihad","DE","JAC",49,"1","DT","DE","DE 77","DT 78"
"51",2021,"YTD",12751,"Gotsis, Adam","DT","JAC",49,"1","DE","DT","DT 63","DE 88"
"52",2021,"YTD",14250,"Hollins, Justin","LB","LAR",47,"1","DE","LB","LB 132","DE 92"
"53",2021,"YTD",15433,"Loudermilk, Isaiahh","DE","PIT",47,"1","DT","DE","DE 81","DT 82"
"54",2021,"YTD",11859,"Stephen, Shamar","DE","DEN",44,"1","DT","DE","DE 84","DT 84"
"55",2021,"YTD",12763,"Fackrell, Kyler","LB","LAC",43,"1","DE","LB","LB 138","DE 98"
"56",2021,"YTD",12234,"Dupree, Bud","LB","TEN",42,"1","DE","LB","LB 140","DE 103"
"57",2021,"YTD",13989,"Lancaster, Tyler","DE","GBP",42,"1","DT","DE","DE 92","DT 88"
"58",2021,"YTD",11830,"Kennard, Devon","LB","ARI",41,"1","DE","LB","LB 142","DE 106"
"59",2021,"YTD",13448,"Butler, Adam","DT","MIA",40,"1","DT","DE","DE 95","DT 90"
"60",2021,"YTD",10272,"Watt, J.J.","DE","ARI",37,"0","DT","DE","DE 99","DT 97"
"61",2021,"YTD",9633,"McCourty, Jason","CB","MIA",35,"1","S","CB","CB 136","S 104"
"62",2021,"YTD",13681,"Chubb, Bradley","LB","DEN",31,"1","DE","LB","LB 160","DE 118"
"63",2021,"YTD",13755,"Holmes, Jalyn","DE","NOS",23,"1","DE","DT","DT 94","DE 129"
"64",2021,"YTD",13785,"Neal, Siran","CB","BUF",23,"1","S","CB","CB 153","S 113"
"65",2021,"YTD",14151,"Ferrell, Clelin","DE","LVR",23,"1","DE","LB","LB 174","DE 132"
"66",2021,"YTD",12361,"Nunez-Roches, Rakeem","DT","TBB",19,"1","DT","DE","DE 127","DT 123"
"67",2021,"YTD",12740,"Butler, Vernon","DT","BUF",17,"1","DT","DE","DE 130","DT 125"
"68",2021,"YTD",11790,"Marsh, Cassius","LB","CHI",14,"1","DE","LB","LB 196","DE 145"
"69",2021,"YTD",15093,"Copeland, Marquise","DT","LAR",14,"1","DT","DE","DE 134","DT 137"
"70",2021,"YTD",14975,"Murchison, Larrell","DE","TEN",11,"1","DT","DE","DE 144","DT 144"
"71",2021,"YTD",12288,"Anderson, Henry","DE","NEP",6,"1","DT","DE","DE 154","DT 153"
"72",2021,"YTD",14238,"Cominsky, John","DE","ATL",4,"1","DT","DE","DE 159","DT 166"
"73",2021,"YTD",14275,"Egbule, Emeke","LB","LAC",3,"1","DE","LB","LB 243","DE 171"
"74",2021,"YTD",12301,"Smith, Za'Darius","LB","GBP",2,"1","DE","LB","LB 249","DE 174"
"75",2021,"YTD",15412,"Brown, Bobby","DT","LAR",1,"1","DT","DE","DE 168","DT 179"
"76",2021,"YTD",15132,"Vickers, Kendal","DT","LVR",0,"1","DT","DE","DE 172","DT 183"
